Dec,Hex,Binary,HTML,Char,Description
000,0x00,00000000,&#0;,NUL,Null
001,0x01,00000001,&#1;,SOH,Start of Header
002,0x02,00000010,&#2;,STX,Start of Text
003,0x03,00000011,&#3;,ETX,End of Text
004,0x04,00000100,&#4;,EOT,End of Transmission
005,0x05,00000101,&#5;,ENQ,Enquiry
006,0x06,00000110,&#6;,ACK,Acknowledge
007,0x07,00000111,&#7;,BEL,Bell
008,0x08,00001000,&#8;,BS,Backspace
009,0x09,00001001,&#9;,HT,Horizontal Tab
010,0x0A,00001010,&#10;,LF,Line Feed
011,0x0B,00001011,&#11;,VT,Vertical Tab
012,0x0C,00001100,&#12;,FF,Form Feed
013,0x0D,00001101,&#13;,CR,Carriage Return
014,0x0E,00001110,&#14;,SO,Shift Out
015,0x0F,00001111,&#15;,SI,Shift In
016,0x10,00010000,&#16;,DLE,Data Link Escape
017,0x11,00010001,&#17;,DC1,Device Control 1
018,0x12,00010010,&#18;,DC2,Device Control 2
019,0x13,00010011,&#19;,DC3,Device Control 3
020,0x14,00010100,&#20;,DC4,Device Control 4
021,0x15,00010101,&#21;,NAK,Negative Acknowledge
022,0x16,00010110,&#22;,SYN,Synchronize
023,0x17,00010111,&#23;,ETB,End of Transmission Block
024,0x18,00011000,&#24;,CAN,Cancel
025,0x19,00011001,&#25;,EM,End of Medium
026,0x1A,00011010,&#26;,SUB,Substitute
027,0x1B,00011011,&#27;,ESC,Escape
028,0x1C,00011100,&#28;,FS,File Separator
029,0x1D,00011101,&#29;,GS,Group Separator
030,0x1E,00011110,&#30;,RS,Record Separator
031,0x1F,00011111,&#31;,US,Unit Separator
032,0x20,00100000,&#32;, ,Space
033,0x21,00100001,&#33;,!,exclamation mark
034,0x22,00100010,&#34;,"""",double quote
035,0x23,00100011,&#35;,#,number
036,0x24,00100100,&#36;,$,dollar
037,0x25,00100101,&#37;,%,percent
038,0x26,00100110,&#38;,&,ampersand
039,0x27,00100111,&#39;,',single quote
040,0x28,00101000,&#40;,(,left parenthesis
041,0x29,00101001,&#41;,),right parenthesis
042,0x2A,00101010,&#42;,*,asterisk
043,0x2B,00101011,&#43;,+,plus
044,0x2C,00101100,&#44;,",",comma
045,0x2D,00101101,&#45;,-,minus
046,0x2E,00101110,&#46;,.,period
047,0x2F,00101111,&#47;,/,slash
048,0x30,00110000,&#48;,0,zero
049,0x31,00110001,&#49;,1,one
050,0x32,00110010,&#50;,2,two
051,0x33,00110011,&#51;,3,three
052,0x34,00110100,&#52;,4,four
053,0x35,00110101,&#53;,5,five
054,0x36,00110110,&#54;,6,six
055,0x37,00110111,&#55;,7,seven
056,0x38,00111000,&#56;,8,eight
057,0x39,00111001,&#57;,9,nine
058,0x3A,00111010,&#58;,:,colon
059,0x3B,00111011,&#59;,;,semicolon
060,0x3C,00111100,&#60;,<,less than
061,0x3D,00111101,&#61;,=,equality sign
062,0x3E,00111110,&#62;,>,greater than
063,0x3F,00111111,&#63;,?,question mark
064,0x40,01000000,&#64;,@,at sign
065,0x41,01000001,&#65;,A, 
066,0x42,01000010,&#66;,B, 
067,0x43,01000011,&#67;,C, 
068,0x44,01000100,&#68;,D, 
069,0x45,01000101,&#69;,E, 
070,0x46,01000110,&#70;,F, 
071,0x47,01000111,&#71;,G, 
072,0x48,01001000,&#72;,H, 
073,0x49,01001001,&#73;,I, 
074,0x4A,01001010,&#74;,J, 
075,0x4B,01001011,&#75;,K, 
076,0x4C,01001100,&#76;,L, 
077,0x4D,01001101,&#77;,M, 
078,0x4E,01001110,&#78;,N, 
079,0x4F,01001111,&#79;,O, 
080,0x50,01010000,&#80;,P, 
081,0x51,01010001,&#81;,Q, 
082,0x52,01010010,&#82;,R, 
083,0x53,01010011,&#83;,S, 
084,0x54,01010100,&#84;,T, 
085,0x55,01010101,&#85;,U, 
086,0x56,01010110,&#86;,V, 
087,0x57,01010111,&#87;,W, 
088,0x58,01011000,&#88;,X, 
089,0x59,01011001,&#89;,Y, 
090,0x5A,01011010,&#90;,Z, 
091,0x5B,01011011,&#91;,[,left square bracket
092,0x5C,01011100,&#92;,\,backslash
093,0x5D,01011101,&#93;,],right square bracket
094,0x5E,01011110,&#94;,^,caret / circumflex
095,0x5F,01011111,&#95;,_,underscore
096,0x60,01100000,&#96;,`,grave / accent
097,0x61,01100001,&#97;,a, 
098,0x62,01100010,&#98;,b, 
099,0x63,01100011,&#99;,c, 
100,0x64,01100100,&#100;,d, 
101,0x65,01100101,&#101;,e, 
102,0x66,01100110,&#102;,f, 
103,0x67,01100111,&#103;,g, 
104,0x68,01101000,&#104;,h, 
105,0x69,01101001,&#105;,i, 
106,0x6A,01101010,&#106;,j, 
107,0x6B,01101011,&#107;,k, 
108,0x6C,01101100,&#108;,l, 
109,0x6D,01101101,&#109;,m, 
110,0x6E,01101110,&#110;,n, 
111,0x6F,01101111,&#111;,o, 
112,0x70,01110000,&#112,p, 
113,0x71,01110001,&#113;,q, 
114,0x72,01110010,&#114;,r, 
115,0x73,01110011,&#115;,s, 
116,0x74,01110100,&#116;,t, 
117,0x75,01110101,&#117;,u, 
118,0x76,01110110,&#118;,v, 
119,0x77,01110111,&#119;,w, 
120,0x78,01111000,&#120;,x, 
121,0x79,01111001,&#121;,y, 
122,0x7A,01111010,&#122;,z, 
123,0x7B,01111011,&#123;,{,left curly bracket
124,0x7C,01111100,&#124;,|,vertical bar
125,0x7D,01111101,&#125;,},right curly bracket
126,0x7E,01111110,&#126;,~,tilde
127,0x7F,01111111,&#127;,DEL,delete
